BFS_NR,GEO_LEVEL_LEVEL,GEBIET_NAME,JAHR,Einwohner_pro_ha_Wohnzone,Einwohner_pro_ha_Mischzone,Einwohner_pro_ha_Arbeitszone,Einwohner_pro_ha_Total,Beschaeftigte_pro_ha_Wohnzone,Beschaeftigte_pro_ha_Mischzone,Beschaeftigte_pro_ha_Arbeitszone,Beschaeftigte_pro_ha_Total,Einwohner_u_Beschaeftigte_pro_ha_Wohnzone,Einwohner_u_Beschaeftigte_pro_ha_Mischzone,Einwohner_u_Beschaeftigte_pro_ha_Arbeitszone,Einwohner_u_Beschaeftigte_pro_ha_Total,Einheit
1,1,"Kanton Zürich",2012,69.2,59.8,2.9,53.1,7.9,68.3,79.3,36.9,77.1,128.2,82.2,89.9,"Anzahl"
1,1,"Kanton Zürich",2013,68.9,60.3,2.9,53,8.1,66.2,79.4,36.4,77,126.5,82.3,89.3,"Anzahl"
1,1,"Kanton Zürich",2014,69.6,62.6,3,54,7.8,66.4,79.5,36.7,77.4,128.9,82.5,90.7,"Anzahl"
1,1,"Kanton Zürich",2015,70,63.7,3,54.6,7.7,67.2,76.7,36.7,77.7,130.9,79.7,91.2,"Anzahl"
1,1,"Kanton Zürich",2016,70.5,64.9,2.9,55.1,7.6,68.2,77.2,37.1,78.1,133.1,80.1,92.2,"Anzahl"
1,1,"Kanton Zürich",2017,70.9,65.5,2.9,55.6,7.7,69,76.9,37.3,78.5,134.5,79.7,92.9,"Anzahl"
1,1,"Kanton Zürich",2018,71.4,66.6,2.9,56.1,7.5,70.4,77.8,37.9,78.9,137,80.7,94,"Anzahl"
1,1,"Kanton Zürich",2019,71.9,67.6,6.6,57,7.6,70.9,85.1,38.8,79.5,138.5,91.7,95.8,"Anzahl"
1,1,"Kanton Zürich",2020,72.1,67.5,7.1,57.2,12,68,83.6,38.9,84.1,135.6,90.7,96.1,"Anzahl"
1,1,"Kanton Zürich",2021,72.1,68.7,7.2,57.5,12.2,70.6,85.1,39.9,84.3,139.3,92.3,97.4,"Anzahl"
1,3,"Aeugst am Albis",2012,21.5,48.8,0,33.5,0.9,8.4,0,7.6,22.3,57.2,0,41.2,"Anzahl"
1,3,"Aeugst am Albis",2013,21.4,49,0,33.6,1,8.7,0,7.2,22.4,57.7,0,40.8,"Anzahl"
1,3,"Aeugst am Albis",2014,21.2,48.5,0,33.2,1,8.4,0,7,22.1,56.9,0,40.3,"Anzahl"
1,3,"Aeugst am Albis",2015,20.7,48.4,0,32.9,1,8.6,0,7.1,21.6,57,0,39.9,"Anzahl"
1,3,"Aeugst am Albis",2016,20,48.3,0,32.5,1,8.8,0,7.7,21,57.1,0,40.2,"Anzahl"
1,3,"Aeugst am Albis",2017,20.9,46.6,0,32.1,1.1,8,0,6.5,22,54.6,0,38.6,"Anzahl"
1,3,"Aeugst am Albis",2018,21.9,47,0,32.8,1.1,7.9,0,7.1,23,54.9,0,39.8,"Anzahl"
1,3,"Aeugst am Albis",2019,20.8,48.6,0,32.9,1.5,8.1,0,7.5,22.3,56.7,0,40.4,"Anzahl"
